ballPos_nextLikelyPosition_posTeam1_typeTeam1_posTeam2_typeTeam2_ballWithTeam
(75.000000,45.000000)_(75.000000,45.000000)_(67.500000,45.000000)/(45.000000,22.500000)/(45.000000,67.500000)/(22.500000,45.000000)_speed/strength/strength/agility_(97.500000,45.000000)/(120.000000,22.500000)/(120.000000,67.500000)/(135.000000,45.000000)_speed/strength/strength/agility_1
(76.200479,45.720288)_(92.844035,55.706421)_(75.528410,45.000000)/(52.070619,23.409080)/(52.128820,67.500000)/(14.934062,45.000000)_speed/strength/strength/agility_(89.351590,45.000000)/(112.901359,23.155259)/(113.623790,70.688105)/(135.000000,45.000000)_speed/strength/strength/agility_1
(83.163005,49.897803)_(92.309967,55.385980)_(83.198197,48.679880)/(59.211836,24.327236)/(59.328820,67.500000)/(9.808267,45.000000)_speed/strength/strength/agility_(85.944054,49.986100)/(105.731838,23.817061)/(106.765690,69.439790)/(135.000000,45.000000)_speed/strength/strength/agility_1
(88.213559,53.804627)_(128.032143,88.242814)_(85.447483,51.541846)/(62.782445,24.786314)/(62.928820,67.500000)/(8.475928,45.000000)_speed/strength/strength/agility_(84.812761,52.466916)/(102.147078,24.147962)/(103.829107,67.362897)/(135.000000,45.000000)_speed/strength/strength/agility_2
(89.386086,62.259109)_(29.657874,50.726489)_(90.598105,56.999731)/(69.031010,25.589701)/(69.001144,65.953455)/(7.530905,45.971327)_speed/strength/strength/agility_(78.525535,54.154311)/(95.873748,24.727039)/(99.200354,63.484878)/(139.513519,45.673139)_speed/strength/strength/agility_2
(52.770628,55.189215)_(33.446245,51.457967)_(81.015883,60.148336)/(80.603860,30.430674)/(63.021242,59.873252)/(6.862713,46.658119)_speed/strength/strength/agility_(61.741822,53.846505)/(83.327088,25.885192)/(87.653081,58.738864)/(148.993178,48.347157)_speed/strength/strength/agility_2
(20.939664,49.077727)_(-17.257082,41.774557)_(53.794369,55.699682)/(94.631223,38.842453)/(43.152992,54.099349)/(26.715804,50.340930)_speed/strength/strength/agility_(35.840445,52.325852)/(62.714718,27.787872)/(67.704534,53.213227)/(134.020839,44.429141)_speed/strength/strength/agility_2
